========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2024 (2023-11-01 to 2024-04-30)
 March Madness window: 2024-03-15 to 2024-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o4
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2023-11-01...
  [API] Requests remaining: 23357593
  Found 2 events
    SIU-Edwardsville Cougars @ Dayton Flyers (betus): spread=-18.0, total=134.5, h1_spread=-10.5, h1_total=64.0
    SIU-Edwardsville Cougars @ Dayton Flyers (superbook): spread=-18.0, total=134.5, h1_spread=None, h1_total=None
    SIU-Edwardsville Cougars @ Dayton Flyers (betmgm): spread=-17.5, total=134.5, h1_spread=-9.5, h1_total=63.5
    Delaware St Hornets @ Penn State Nittany Lions (draftkings): spread=-20.0, total=137.0, h1_spread=-11.5, h1_total=66.0
    Delaware St Hornets @ Penn State Nittany Lions (unibet_us): spread=-19.5, total=137.0, h1_spread=-12.0, h1_total=None
    Delaware St Hornets @ Penn State Nittany Lions (twinspires): spread=-19.5, total=137.0, h1_spread=None, h1_total=None
    Delaware St Hornets @ Penn State Nittany Lions (betrivers): spread=-19.5, total=137.0, h1_spread=-12.0, h1_total=None
    Delaware St Hornets @ Penn State Nittany Lions (pointsbetus): spread=-19.5, total=137.0, h1_spread=None, h1_total=None
    Delaware St Hornets @ Penn State Nittany Lions (barstool): spread=-19.5, total=136.5, h1_spread=-10.5, h1_total=None
    Delaware St Hornets @ Penn State Nittany Lions (fanduel): spread=-19.5, total=136.5, h1_spread=-10.5, h1_total=65.5
    Delaware St Hornets @ Penn State Nittany Lions (lowvig): spread=-20.0, total=136.5, h1_spread=None, h1_total=None
    Delaware St Hornets @ Penn State Nittany Lions (bovada): spread=-19.5, total=137.0, h1_spread=-11.0, h1_total=65.0
    Delaware St Hornets @ Penn State Nittany Lions (williamhill_us): spread=-19.5, total=136.5, h1_spread=-11.0, h1_total=65.0
    Delaware St Hornets @ Penn State Nittany Lions (superbook): spread=-19.5, total=136.0, h1_spread=None, h1_total=None
    Delaware St Hornets @ Penn State Nittany Lions (betmgm): spread=-19.5, total=136.5, h1_spread=None, h1_total=None
    Detroit Mercy Titans @ Toledo Rockets (draftkings): spread=-15.5, total=154.0, h1_spread=-9.0, h1_total=73.5
    Detroit Mercy Titans @ Toledo Rockets (lowvig): spread=-15.5, total=153.5, h1_spread=None, h1_total=None
    Detroit Mercy Titans @ Toledo Rockets (pointsbetus): spread=-16.0, total=153.5, h1_spread=None, h1_total=None
    Detroit Mercy Titans @ Toledo Rockets (williamhill_us): spread=-15.5, total=152.5, h1_spread=-9.0, h1_total=73.0
